year,state,month,number,date,area,rain,wind,temp
1998,Acre,jan,0,01/01/1998,0,0,6.7,8.2
1999,Acre,jan,0,01/01/1999,0,0,0.9,18
2000,Acre,jan,0,01/01/2000,0,0,1.3,14.6
2001,Acre,jan,0,01/01/2001,0,0.2,4,8.3
2002,Acre,jan,0,01/01/2002,0,0,1.8,11.4
2003,Acre,jan,10,01/01/2003,0,0,5.4,22.2
2004,Acre,jan,0,01/01/2004,0,0,3.1,24.1
2005,Acre,jan,12,01/01/2005,0,0,2.2,8
2006,Acre,jan,4,01/01/2006,0,0,5.4,13.1
2007,Acre,jan,0,01/01/2007,0,0,4,22.8
2008,Acre,jan,0,01/01/2008,0,0,7.2,17.8
2009,Acre,jan,0,01/01/2009,0,0,4,19.3
2010,Acre,jan,1,01/01/2010,0,0,6.7,17
2011,Acre,jan,0,01/01/2011,0,0,2.2,21.3
2012,Acre,jan,0,01/01/2012,0,0,4.5,26.4
2013,Acre,jan,0,01/01/2013,0,0,5.4,22.9
2014,Acre,jan,0,01/01/2014,0,0,5.4,15.1
2015,Acre,jan,1,01/01/2015,0,0,4.9,16.7
2016,Acre,jan,12,01/01/2016,0,0,4,15.9
2017,Acre,jan,0,01/01/2017,0,0,4.5,9.3
1998,Acre,feb,0,01/01/1998,0,0,2.7,18.3
1999,Acre,feb,0,01/01/1999,0,0,2.7,19.1
2000,Acre,feb,0,01/01/2000,0,0,4.5,21
2001,Acre,feb,0,01/01/2001,0,0,5.8,19.5
2002,Acre,feb,1,01/01/2002,0,0,5.8,23.7
2003,Acre,feb,0,01/01/2003,0,0,5.4,16.3
2004,Acre,feb,3,01/01/2004,0,0,5.8,19
2005,Acre,feb,0,01/01/2005,0,0,1.3,19.4
2006,Acre,feb,0,01/01/2006,0,0,2.7,30.2
2007,Acre,feb,5,01/01/2007,0,0,3.6,22.8
2008,Acre,feb,0,01/01/2008,0,0,3.6,25.4
2009,Acre,feb,2,01/01/2009,0,0,7.6,11.2
2010,Acre,feb,0,01/01/2010,0,0,1.8,20.6
2011,Acre,feb,0,01/01/2011,0,0,3.6,17.7
2012,Acre,feb,0,01/01/2012,0,0,2.7,21.2
2013,Acre,feb,0,01/01/2013,0,0,4.5,18.2
2014,Acre,feb,0,01/01/2014,0,0,4.5,21.7
2015,Acre,feb,2,01/01/2015,0,0,5.4,11.3
2016,Acre,feb,5,01/01/2016,0,0,4,17.8
2017,Acre,feb,1,01/01/2017,0,0,2.7,14.1
1998,Acre,mar,0,01/01/1998,0,0,3.1,23.3
1999,Acre,mar,0,01/01/1999,0,0,6.7,18.4
2000,Acre,mar,11,01/01/2000,0,0,5.4,16.6
2001,Acre,mar,0,01/01/2001,0,0,2.7,19.6
2002,Acre,mar,0,01/01/2002,0,0,4.9,12.9
2003,Acre,mar,0,01/01/2003,0,0,4,25.9
2004,Acre,mar,0,01/01/2004,0,0,3.6,14.7
2005,Acre,mar,3,01/01/2005,0,0,3.1,23
2006,Acre,mar,0,01/01/2006,0,0,1.8,11.8
2007,Acre,mar,2,01/01/2007,0,0,5.8,11
2008,Acre,mar,0,01/01/2008,0,0,1.3,20.8
2009,Acre,mar,1,01/01/2009,0,0,2.2,21.5
2010,Acre,mar,0,01/01/2010,0,0,4.9,20.4
2011,Acre,mar,0,01/01/2011,0,0,4.9,20.4
2012,Acre,mar,1,01/01/2012,0,0,3.6,17.6
2013,Acre,mar,2,01/01/2013,0,0,2.2,27.7
2014,Acre,mar,1,01/01/2014,0,0,4.9,17.8
2015,Acre,mar,2,01/01/2015,0,0,2.7,13.8
2016,Acre,mar,0,01/01/2016,0,0,5.4,13.9
2017,Acre,mar,0,01/01/2017,0,0,0.9,12.3
1998,Acre,apr,0,01/01/1998,0,0,5.8,11.5
1999,Acre,apr,0,01/01/1999,0,0,6.3,5.5
2000,Acre,apr,1,01/01/2000,0,0,4.9,18.8
2001,Acre,apr,0,01/01/2001,0,0,2.7,20.8
2002,Acre,apr,0,01/01/2002,0,0,3.1,23.1
2003,Acre,apr,1,01/01/2003,0,0,4.5,18.6
2004,Acre,apr,2,01/01/2004,0,0,4.5,23
2005,Acre,apr,1,01/01/2005,0,0,5.4,19.6
2006,Acre,apr,0,01/01/2006,0,0,6.3,19.6
2007,Acre,apr,0,01/01/2007,0,0,4.5,17.2
2008,Acre,apr,0,01/01/2008,0,0,7.6,15.8
2009,Acre,apr,0,01/01/2009,0,0,3.6,17.7
2010,Acre,apr,3,01/01/2010,0,0,6.3,15.6
2011,Acre,apr,2,01/01/2011,0,0,4.5,17.3
2012,Acre,apr,1,01/01/2012,0,0,1.3,27.6
2013,Acre,apr,19,01/01/2013,0,0,3.1,6.7
2014,Acre,apr,7,01/01/2014,0,0,3.1,15.7
2015,Acre,apr,3,01/01/2015,0,0,3.1,8.3
2016,Acre,apr,0,01/01/2016,0,0,2.7,14.7
2017,Acre,apr,1,01/01/2017,0,0,6.7,21.6
1998,Acre,may,0,01/01/1998,0,0,6.3,19.5
1999,Acre,may,0,01/01/1999,0,0,2.2,17.9
2000,Acre,may,1,01/01/2000,0,0,4.5,18.6
2001,Acre,may,0,01/01/2001,0,0,0.9,16.6
2002,Acre,may,0,01/01/2002,0,0,3.6,20.2
2003,Acre,may,6,01/01/2003,0,0,0.9,21.5
2004,Acre,may,7,01/01/2004,0,0,2.2,25.4
2005,Acre,may,2,01/01/2005,0,0,2.2,22.4
2006,Acre,may,8,01/01/2006,0,0,3.6,25.3
2007,Acre,may,1,01/01/2007,0,0,4.9,17.4
2008,Acre,may,0,01/01/2008,0,0,5.8,14.7
2009,Acre,may,3,01/01/2009,0,0,5.4,17.4
2010,Acre,may,9,01/01/2010,0,0,6.3,20.8
2011,Acre,may,3,01/01/2011,0,0,4.9,18.2
2012,Acre,may,3,01/01/2012,0,0,2.7,23.4
2013,Acre,may,4,01/01/2013,0,0,1.3,17.8
2014,Acre,may,1,01/01/2014,0,0,1.8,12.7
2015,Acre,may,2,01/01/2015,0,0,5.4,17.4
2016,Acre,may,21,01/01/2016,0,0,4.5,11.6
2017,Acre,may,10,01/01/2017,0,0,5.4,19.8
1998,Acre,jun,3,01/01/1998,0,0,5.4,19.8
1999,Acre,jun,0,01/01/1999,0,0,5.4,14.4
2000,Acre,jun,1,01/01/2000,0,0,4,20.1
2001,Acre,jun,1,01/01/2001,0,0,4.5,24.1
2002,Acre,jun,0,01/01/2002,0,0,3.1,5.3
2003,Acre,jun,0,01/01/2003,0,0,6.3,12.7
2004,Acre,jun,5,01/01/2004,0,0,3.1,18.2
2005,Acre,jun,27,01/01/2005,0,0,3.1,21.4
2006,Acre,jun,1,01/01/2006,0,0,3.1,20.3
2007,Acre,jun,4,01/01/2007,0,0,5.4,17.4
2008,Acre,jun,0,01/01/2008,0,0,5.8,13.7
2009,Acre,jun,0,01/01/2009,0,0,4.5,18.8
