"","year","state","month","number","date"
"1",1998,"Acre","jan",0,"1998-01-01"
"2",1999,"Acre","jan",0,"1999-01-01"
"3",2000,"Acre","jan",0,"2000-01-01"
"4",2001,"Acre","jan",0,"2001-01-01"
"5",2002,"Acre","jan",0,"2002-01-01"
"6",2003,"Acre","jan",10,"2003-01-01"
"7",2004,"Acre","jan",0,"2004-01-01"
"8",2005,"Acre","jan",12,"2005-01-01"
"9",2006,"Acre","jan",4,"2006-01-01"
"10",2007,"Acre","jan",0,"2007-01-01"
"11",2008,"Acre","jan",0,"2008-01-01"
"12",2009,"Acre","jan",0,"2009-01-01"
"13",2010,"Acre","jan",1,"2010-01-01"
"14",2011,"Acre","jan",0,"2011-01-01"
"15",2012,"Acre","jan",0,"2012-01-01"
"16",2013,"Acre","jan",0,"2013-01-01"
"17",2014,"Acre","jan",0,"2014-01-01"
"18",2015,"Acre","jan",1,"2015-01-01"
"19",2016,"Acre","jan",12,"2016-01-01"
"20",2017,"Acre","jan",0,"2017-01-01"
"21",1998,"Acre","feb",0,"1998-01-01"
"22",1999,"Acre","feb",0,"1999-01-01"
"23",2000,"Acre","feb",0,"2000-01-01"
"24",2001,"Acre","feb",0,"2001-01-01"
"25",2002,"Acre","feb",1,"2002-01-01"
"26",2003,"Acre","feb",0,"2003-01-01"
"27",2004,"Acre","feb",3,"2004-01-01"
"28",2005,"Acre","feb",0,"2005-01-01"
"29",2006,"Acre","feb",0,"2006-01-01"
"30",2007,"Acre","feb",5,"2007-01-01"
"31",2008,"Acre","feb",0,"2008-01-01"
"32",2009,"Acre","feb",2,"2009-01-01"
"33",2010,"Acre","feb",0,"2010-01-01"
"34",2011,"Acre","feb",0,"2011-01-01"
"35",2012,"Acre","feb",0,"2012-01-01"
"36",2013,"Acre","feb",0,"2013-01-01"
"37",2014,"Acre","feb",0,"2014-01-01"
"38",2015,"Acre","feb",2,"2015-01-01"
"39",2016,"Acre","feb",5,"2016-01-01"
"40",2017,"Acre","feb",1,"2017-01-01"
"41",1998,"Acre","mar",0,"1998-01-01"
"42",1999,"Acre","mar",0,"1999-01-01"
"43",2000,"Acre","mar",11,"2000-01-01"
"44",2001,"Acre","mar",0,"2001-01-01"
"45",2002,"Acre","mar",0,"2002-01-01"
"46",2003,"Acre","mar",0,"2003-01-01"
"47",2004,"Acre","mar",0,"2004-01-01"
"48",2005,"Acre","mar",3,"2005-01-01"
"49",2006,"Acre","mar",0,"2006-01-01"
"50",2007,"Acre","mar",2,"2007-01-01"
"51",2008,"Acre","mar",0,"2008-01-01"
