"3149",1998,"Para","mar",0,"1998-01-01"
"3150",1999,"Para","mar",7,"1999-01-01"
"3151",2000,"Para","mar",181,"2000-01-01"
"3152",2001,"Para","mar",0,"2001-01-01"
"3153",2002,"Para","mar",14,"2002-01-01"
"3154",2003,"Para","mar",27,"2003-01-01"
"3155",2004,"Para","mar",22,"2004-01-01"
"3156",2005,"Para","mar",21,"2005-01-01"
"3157",2006,"Para","mar",10,"2006-01-01"
"3158",2007,"Para","mar",6,"2007-01-01"
"3159",2008,"Para","mar",4,"2008-01-01"
"3160",2009,"Para","mar",4,"2009-01-01"
"3161",2010,"Para","mar",110,"2010-01-01"
"3162",2011,"Para","mar",21,"2011-01-01"
"3163",2012,"Para","mar",30,"2012-01-01"
"3164",2013,"Para","mar",19,"2013-01-01"
"3165",2014,"Para","mar",34,"2014-01-01"
"3166",2015,"Para","mar",61,"2015-01-01"
"3167",2016,"Para","mar",81,"2016-01-01"
"3168",2017,"Para","mar",42,"2017-01-01"
"3169",1998,"Para","apr",0,"1998-01-01"
"3170",1999,"Para","apr",6,"1999-01-01"
"3171",2000,"Para","apr",40,"2000-01-01"
"3172",2001,"Para","apr",0,"2001-01-01"
"3173",2002,"Para","apr",11,"2002-01-01"
"3174",2003,"Para","apr",14,"2003-01-01"
"3175",2004,"Para","apr",23,"2004-01-01"
"3176",2005,"Para","apr",14,"2005-01-01"
"3177",2006,"Para","apr",2,"2006-01-01"
"3178",2007,"Para","apr",0,"2007-01-01"
"3179",2008,"Para","apr",7,"2008-01-01"
"3180",2009,"Para","apr",8,"2009-01-01"
"3181",2010,"Para","apr",22,"2010-01-01"
"3182",2011,"Para","apr",10,"2011-01-01"
"3183",2012,"Para","apr",11,"2012-01-01"
"3184",2013,"Para","apr",20,"2013-01-01"
"3185",2014,"Para","apr",27,"2014-01-01"
"3186",2015,"Para","apr",27,"2015-01-01"
"3187",2016,"Para","apr",66,"2016-01-01"
"3188",2017,"Para","apr",45,"2017-01-01"
"3189",1998,"Para","may",0,"1998-01-01"
"3190",1999,"Para","may",4,"1999-01-01"
"3191",2000,"Para","may",12,"2000-01-01"
"3192",2001,"Para","may",7,"2001-01-01"
"3193",2002,"Para","may",18,"2002-01-01"
"3194",2003,"Para","may",3,"2003-01-01"
"3195",2004,"Para","may",44,"2004-01-01"
"3196",2005,"Para","may",37,"2005-01-01"
"3197",2006,"Para","may",0,"2006-01-01"
"3198",2007,"Para","may",9,"2007-01-01"
"3199",2008,"Para","may",0,"2008-01-01"
"3200",2009,"Para","may",7,"2009-01-01"
"3201",2010,"Para","may",57,"2010-01-01"
"3202",2011,"Para","may",16,"2011-01-01"
"3203",2012,"Para","may",59,"2012-01-01"
"3204",2013,"Para","may",42,"2013-01-01"
"3205",2014,"Para","may",70,"2014-01-01"
"3206",2015,"Para","may",95,"2015-01-01"
"3207",2016,"Para","may",154,"2016-01-01"
